inductance 0.7877760919196056
capacitance 0.015066363835234011
inductivereactance 247.48715830483107
capacitivereactance 0.21127187001776443
chargingcurrent 601201.9452047149
ABCD "[[1, (50+247.48715830483107j)], [0, 1]]"
sendinginvoltage (93.9759918084328+128.49865328011103j)
sendingincurrent (0.47293746715712026+0.22905406955021923j)
voltageregulation 25.334406238253464
powerLoss 7.13221114491823
efficiency 19.45687664734317
inductance 0.7877760919196056
capacitance 0.015066363835234011
inductivereactance 247.48715830483107
capacitivereactance 0.21127187001776443
chargingcurrent 601201.9452047149
ABCD "[[1, (50+247.48715830483107j)], [0, 1]]"
sendinginvoltage (93.9759918084328+128.49865328011103j)
sendingincurrent (0.47293746715712026+0.22905406955021923j)
voltageregulation 25.334406238253464
powerLoss 7.13221114491823
efficiency 19.45687664734317
